year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,749,
2021,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),52.8,
2021,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.2,
2021,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2022,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,731,
2022,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),56.1,
2022,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,13,
2022,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2022,5102030,270,Highland,Thurso High School,Secondary,sex,Female,50-60%,
2022,5102030,270,Highland,Thurso High School,Secondary,sex,Male,40-50%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S1,18.1%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S2,19.4%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S3,20.1%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S4,19.2%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S5,15.9%,
2022,5102030,270,Highland,Thurso High School,Secondary,stage,S6,7.4%,
2022,5102030,270,Highland,Thurso High School,Secondary,additional_support_needs,ASN,30-40%,
2022,5102030,270,Highland,Thurso High School,Secondary,additional_support_needs,No ASN,60-70%,
2022,5102030,270,Highland,Thurso High School,Secondary,english_additional_language,EAL,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,english_additional_language,No EAL,90+%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Unknown,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Q1,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Q2,10-20%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Q3,40-50%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Q4,40-50%,
2022,5102030,270,Highland,Thurso High School,Secondary,deprivation,SIMD Q5,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,ethnicity,Ethnicity Not Known,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,ethnicity,Ethnic Minority,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,ethnicity,White UK,90+%,
2022,5102030,270,Highland,Thurso High School,Secondary,ethnicity,White Other,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,urban_rural,Urban Rural Not Known,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,urban_rural,Rural,40-50%,
2022,5102030,270,Highland,Thurso High School,Secondary,urban_rural,Small Town,50-60%,
2022,5102030,270,Highland,Thurso High School,Secondary,urban_rural,Urban,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,gaelic,Taught in Gaelic,0-10%,
2022,5102030,270,Highland,Thurso High School,Secondary,gaelic,Not Taught in Gaelic,90+%,
2022,5102030,270,Highland,Thurso High School,Secondary,free_school_meals,FSM,10-20%,
2022,5102030,270,Highland,Thurso High School,Secondary,free_school_meals,No FSM,80-90%,
2020,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,757,
2020,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),52,
2020,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.5,
2020,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2018,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,714,
2018,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),48,
2018,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.9,
2018,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2017,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,741,
2017,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),50.7,
2017,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.6,
2017,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2016,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,748,
2016,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),52.6,
2016,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.2,
2016,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2015,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,788,
2015,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),57.3,
2015,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,13.8,
2015,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2014,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,778,
2014,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),59.5,
2014,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,13.1,
2014,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2013,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,802,
2013,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),61.4,
2013,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,13.1,
2013,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2012,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,837,
2012,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),68.5,
2012,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,12.2,
2012,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2011,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,846,
2011,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),64.4,
2011,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,13.1,
2011,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2010,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,909,
2010,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),73.8,
2010,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,12.3,
2010,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,942,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),81.2,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,11.6,
2009,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
2019,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Numbers,736,
2019,5102030,270,Highland,Thurso High School,Secondary,trend,Teacher Numbers (FTE),51.9,
2019,5102030,270,Highland,Thurso High School,Secondary,trend,Pupil Teacher Ratio,14.2,
2019,5102030,270,Highland,Thurso High School,Secondary,trend,Average Class,0,
